City,Temperature,timestamp
Paris,32.5,2026-03-27 10:59:22.240471
New York,23.3,2026-06-12 10:59:22.240487
New York,28.1,2026-04-16 10:59:22.240493
Paris,19.1,2025-08-09 10:59:22.240497
Sydney,31.6,2026-04-25 10:59:22.240500
Sydney,17.3,2026-05-04 10:59:22.240502
London,31.3,2025-11-18 10:59:22.240505
New York,22.9,2026-03-30 10:59:22.240507
Paris,18.4,2025-07-18 10:59:22.240509
Sydney,19.0,2026-01-11 10:59:22.240512
Tokyo,31.7,2026-03-12 10:59:22.240514
Tokyo,12.0,2026-04-22 10:59:22.240516
London,19.0,2025-11-08 10:59:22.240518
New York,14.5,2026-06-12 10:59:22.240520
Sydney,14.3,2026-04-09 10:59:22.240523
New York,34.1,2025-09-02 10:59:22.240525
Tokyo,24.7,2025-07-16 10:59:22.240527
London,28.0,2025-07-04 10:59:22.240529
Tokyo,20.3,2026-01-27 10:59:22.240531
Paris,28.4,2026-02-16 10:59:22.240533
New York,16.3,2026-03-20 10:59:22.240535
Paris,28.6,2025-12-21 10:59:22.240537
Sydney,22.4,2025-09-16 10:59:22.240539
Paris,23.3,2025-08-19 10:59:22.240541
Paris,10.9,2026-03-08 10:59:22.240543
Paris,27.9,2026-01-22 10:59:22.240545
Sydney,33.2,2025-07-11 10:59:22.240548
Paris,22.6,2026-05-23 10:59:22.240550
London,34.0,2026-04-29 10:59:22.240552
Sydney,19.7,2026-02-19 10:59:22.240554
London,12.6,2025-09-01 10:59:22.240556
London,12.9,2025-10-10 10:59:22.240558
Paris,32.9,2025-09-14 10:59:22.240560
Paris,27.7,2025-09-05 10:59:22.240562
Paris,13.0,2026-02-21 10:59:22.240564
Tokyo,23.8,2026-05-15 10:59:22.240566
Sydney,31.0,2025-10-15 10:59:22.240568
Tokyo,24.6,2025-07-18 10:59:22.240570
Tokyo,13.6,2025-10-31 10:59:22.240572
Sydney,13.4,2025-11-19 10:59:22.240574
New York,13.6,2025-10-15 10:59:22.240577
Sydney,27.0,2025-11-29 10:59:22.240579
Tokyo,29.7,2026-02-04 10:59:22.240581
Sydney,12.5,2026-04-17 10:59:22.240583
London,24.9,2026-03-08 10:59:22.240585
New York,19.4,2026-02-15 10:59:22.240587
London,19.7,2025-11-08 10:59:22.240589
Paris,33.6,2025-08-05 10:59:22.240591
Tokyo,20.4,2025-09-18 10:59:22.240593
Tokyo,25.9,2026-02-22 10:59:22.240595
Sydney,31.7,2026-03-16 10:59:22.240597
Tokyo,15.7,2026-05-13 10:59:22.240599
Sydney,19.0,2026-02-15 10:59:22.240601
Sydney,21.7,2026-03-19 10:59:22.240603
Paris,25.7,2025-08-07 10:59:22.240614
New York,33.3,2025-09-11 10:59:22.240616
Sydney,27.2,2026-06-25 10:59:22.240618
Sydney,20.1,2025-12-25 10:59:22.240620
London,13.0,2025-12-10 10:59:22.240622
New York,23.5,2026-03-16 10:59:22.240624
London,12.3,2026-01-21 10:59:22.240626
London,26.7,2025-11-29 10:59:22.240628
Paris,24.5,2026-02-01 10:59:22.240630
Paris,24.5,2026-05-30 10:59:22.240632
Tokyo,34.1,2025-09-22 10:59:22.240635
London,29.8,2026-04-17 10:59:22.240637
New York,10.5,2025-12-12 10:59:22.240639
Paris,15.6,2025-09-12 10:59:22.240641
London,33.3,2025-12-08 10:59:22.240643
New York,32.8,2025-10-10 10:59:22.240645
Tokyo,30.3,2025-08-30 10:59:22.240647
London,17.4,2026-05-18 10:59:22.240649
Paris,20.3,2025-11-07 10:59:22.240651
Sydney,23.1,2026-05-02 10:59:22.240653
London,17.4,2026-01-02 10:59:22.240655
Paris,17.2,2025-11-12 10:59:22.240657
Tokyo,14.4,2025-09-09 10:59:22.240659
Paris,13.7,2025-09-10 10:59:22.240662
Sydney,17.5,2025-11-09 10:59:22.240664
London,21.1,2025-09-10 10:59:22.240665
Tokyo,27.7,2025-10-23 10:59:22.240667
Paris,16.5,2026-06-26 10:59:22.240669
London,27.5,2026-04-28 10:59:22.240671
Sydney,11.1,2026-01-31 10:59:22.240673
London,10.1,2025-08-30 10:59:22.240675
New York,24.5,2026-04-24 10:59:22.240678
Sydney,23.3,2026-06-11 10:59:22.240680
Tokyo,20.8,2025-10-23 10:59:22.240682
Paris,10.0,2026-05-14 10:59:22.240684
London,13.3,2026-06-26 10:59:22.240686
Sydney,14.5,2026-06-10 10:59:22.240688
London,21.8,2025-10-19 10:59:22.240690
Sydney,32.1,2025-08-20 10:59:22.240692
London,25.6,2026-06-16 10:59:22.240696
London,19.7,2026-06-30 10:59:22.240698
New York,24.7,2026-03-17 10:59:22.240700
New York,19.9,2026-02-03 10:59:22.240702
Sydney,22.7,2025-08-24 10:59:22.240704
Tokyo,16.8,2026-01-28 10:59:22.240706
London,29.5,2025-08-19 10:59:22.240708
Tokyo,14.2,2025-09-13 10:59:22.240710
Paris,22.8,2025-11-08 10:59:22.240712
Tokyo,25.4,2026-01-03 10:59:22.240714
London,23.1,2026-03-13 10:59:22.240716
Paris,15.6,2025-09-15 10:59:22.240718
Paris,21.7,2025-08-24 10:59:22.240720
London,34.8,2026-05-18 10:59:22.240722
Sydney,24.0,2026-06-09 10:59:22.240724
